make,model,generation_label,start_year,end_year,title,description,symptoms,severity,typical_mileage_km,estimated_repair_cost_min,estimated_repair_cost_max,recommendation
BMW,3-Series,F30,2012,2018,Timing chain guide and tensioner failure (N20 engine),"The N20 2.0L turbo four-cylinder is known for premature wear of plastic timing chain guides and the tensioner, which can allow the chain to skip and, in severe cases, cause catastrophic engine damage.",,severe,100000,3000.0,6000.0,"Ask for records showing the updated timing chain components were installed, and listen for a rattle on cold start-up."
BMW,3-Series,F30,2012,2018,Oil filter housing gasket and valve cover leaks,"Plastic oil filter housing gaskets and valve cover gaskets degrade with heat cycling and begin seeping oil, often first noticed as a burning smell.",,moderate,90000,400.0,900.0,Check the top and front of the engine for oil residue and ask about recent gasket replacement.
BMW,3-Series,F30,2012,2018,Electric water pump failure,"The electric water pump used on N20 and N55 engines has a known failure history, which can leave you stranded with a sudden overheat warning.",,moderate,100000,800.0,1200.0,Ask for water pump replacement history and monitor the temperature gauge closely on the test drive.
BMW,3-Series,F30,2012,2018,High-pressure fuel pump failure,"The direct-injection high-pressure fuel pump can fail, causing hard starts, misfires, or a no-start condition.",,moderate,90000,900.0,1500.0,Have the car cold-started during your inspection to check for hesitation or difficulty starting.
BMW,3-Series,F30,2012,2018,Aging plastic cooling system components,"Coolant expansion tanks, hoses, and connectors are made of plastic that becomes brittle with age and can crack, leading to slow coolant leaks.",,moderate,110000,300.0,800.0,Check the coolant reservoir level and look for white residue around hose connections.
Chevrolet,Silverado,K2XX,2014,2018,AFM lifter failure / valve train tick,"The Active Fuel Management system on the 5.3L and 6.2L EcoTec3 V8s deactivates cylinders to save fuel, and the lifters responsible for this can collapse, producing a persistent tick and eventually camshaft damage.",,severe,130000,2500.0,5000.0,"Listen closely for a ticking noise at idle, especially during the transition between 8-cylinder and 4-cylinder mode, and ask about AFM disabler installation."
Chevrolet,Silverado,K2XX,2014,2018,HVAC blend door actuator failure,"The blend door actuator behind the dash commonly fails, causing a repetitive clicking noise and inconsistent cabin temperature.",,minor,90000,250.0,450.0,Run the climate control through its full range and listen for clicking behind the dash.
Chevrolet,Silverado,K2XX,2014,2018,6L80 transmission shudder and rough shifts,The 6-speed automatic can develop a shudder in torque converter lockup or harsh 1-2 shifts as fluid and clutch packs age.,,moderate,120000,1500.0,3000.0,"Test drive at steady highway speed and light throttle to feel for shudder, and ask for transmission fluid service records."
Chevrolet,Silverado,K2XX,2014,2018,Power steering pump and rack leaks,"Power steering components can develop leaks over time, leading to fluid loss and increased steering effort.",,moderate,110000,400.0,900.0,Check under the front of the truck for fluid residue and feel for steering assist consistency.
Chevrolet,Silverado,K2XX,2014,2018,Rear differential whine,"The rear differential can develop a whine or howl as gears wear, particularly on trucks used for towing.",,minor,140000,500.0,1200.0,"Listen for whining noise that changes with speed during the test drive, especially decelerating."
Ford,F-150,13th Gen,2015,2020,EcoBoost intake timing chain / internal water pump failure,"On 2.7L and 3.5L EcoBoost engines, the water pump is driven off the timing chain inside the engine, and a failing pump or stretched chain can dump coolant into the oil, requiring a full timing cover teardown.",,severe,120000,2500.0,4500.0,"Pull the oil dipstick and check for a milky or foamy tint before buying, and ask for recent oil analysis on EcoBoost-equipped trucks."
Ford,F-150,13th Gen,2015,2020,Aluminum body panel repair cost,"The aluminum body and bed are lighter and more corrosion resistant, but even minor collision damage often requires specialized aluminum repair equipment, driving up body shop costs.",,moderate,60000,800.0,3000.0,Get a body shop quote before buying if there is any visible panel damage or prior repair work.
Ford,F-150,13th Gen,2015,2020,10-speed transmission shudder and harsh shifts,Trucks built from 2017 onward with the 10-speed automatic can develop a shudder in 3rd-4th gear or harsh 1-2 shifts as the fluid and clutch packs age.,,moderate,100000,500.0,2000.0,"Test drive through a full range of city speeds and feel for shudder or hard shifts, especially from a stop."
Ford,F-150,13th Gen,2015,2020,Power door lock actuator and door handle failures,"Door lock actuators and exterior handle mechanisms can wear out or freeze, especially on trucks that see winter road salt.",,minor,80000,200.0,500.0,"Cycle every door lock and handle, including the tailgate, before buying."
Ford,Escape,4th Gen,2020,2024,1.5L EcoBoost engine fire recall,Certain 2020 model-year Escapes with the 1.5L EcoBoost engine were subject to a Ford recall for cracked engine blocks that could leak oil onto hot components and ignite.,,severe,20000,0.0,0.0,Confirm the recall was completed by checking the VIN on Ford's recall lookup before buying a 2020 model.
Ford,Escape,4th Gen,2020,2024,8-speed automatic transmission shudder,"Some early-production units exhibit a shudder or flare during light-throttle upshifts, most noticeable around town.",,moderate,60000,400.0,1500.0,Test drive in stop-and-go traffic and feel for hesitation or shudder during gentle acceleration.
Ford,Escape,4th Gen,2020,2024,Power liftgate malfunction,"The power liftgate motor or latch can fail to open or close fully, sometimes triggering a fault warning.",,minor,50000,200.0,600.0,Operate the power liftgate several times with the key fob and interior button to confirm smooth operation.
Ford,Escape,4th Gen,2020,2024,SYNC infotainment glitches,"The SYNC 3 touchscreen can freeze, lose Bluetooth pairing, or reboot unexpectedly, usually resolved with a software update.",,minor,40000,0.0,300.0,Pair a phone and cycle through navigation and audio screens to confirm responsiveness.
Honda,Civic,10th Gen,2016,2021,AC compressor failure,"The AC compressor clutch can wear prematurely, leading to loss of cooling and a chirping noise on startup.",,moderate,150000,600.0,1100.0,Test AC thoroughly on a hot day before buying.
Honda,Civic,10th Gen,2016,2021,Infotainment screen freezing,"The touchscreen unit can freeze or reboot randomly, requiring a software update or unit replacement.",,minor,80000,0.0,400.0,"Cycle through radio, backup camera, and Bluetooth to confirm the screen is responsive."
Honda,Civic,10th Gen,2016,2021,CVT shudder,Some CVT-equipped cars develop a shudder under light acceleration as the transmission ages.,,moderate,180000,800.0,3500.0,"Test drive at highway speed and light throttle, feeling for vibration."
Honda,Civic,10th Gen,2016,2021,Paint chipping on hood,Factory clear coat on early builds is prone to chipping on the hood and front fenders.,,minor,60000,300.0,900.0,Inspect the hood and fenders closely in direct sunlight.
Honda,Civic,9th Gen,2012,2015,Excessive oil consumption,"Some engines burn oil faster than normal between changes, especially on highway-heavy cars.",,moderate,140000,0.0,2000.0,Ask for oil consumption history and check the dipstick before a long test drive.
Honda,Civic,9th Gen,2012,2015,Automatic transmission hesitation,A brief hesitation or shudder can occur during low-speed shifts.,,minor,160000,0.0,1500.0,"Test drive through stop-and-go conditions, not just highway."
Honda,Civic,9th Gen,2012,2015,Rear suspension wear,"Rear trailing arm bushings wear out, causing a knocking noise over bumps.",,minor,170000,300.0,700.0,Listen for clunks over speed bumps during the test drive.
Honda,Accord,10th Gen,2018,2022,Fuel dilution in oil,"Cold climates and short trips can cause gasoline to dilute engine oil on 1.5T engines, especially early production years.",,moderate,50000,0.0,300.0,Ask about oil change intervals and whether the dealer performed the fuel dilution reflash update.
Honda,Accord,10th Gen,2018,2022,Infotainment lag,"The touchscreen can be slow to respond, particularly with Apple CarPlay connected.",,minor,70000,0.0,350.0,Connect a phone via CarPlay during the test drive to check responsiveness.
Honda,Accord,10th Gen,2018,2022,Road noise from tires,"Factory all-season tires wear unevenly and become noisy, often mistaken for a mechanical issue.",,minor,60000,500.0,900.0,Check tread depth and wear pattern on all four tires.
Honda,CR-V,5th Gen,2017,2022,Fuel dilution in oil,"The 1.5L turbo engine is prone to gasoline diluting the oil in cold climates, especially on short trips.",,moderate,55000,0.0,300.0,Ask if the ECU fuel dilution update was performed and check oil condition on the dipstick.
Honda,CR-V,5th Gen,2017,2022,AC condenser corrosion,"Road salt exposure can corrode the AC condenser, causing refrigerant leaks.",,moderate,130000,500.0,1000.0,Run the AC on max cold for several minutes to confirm it holds temperature.
Honda,CR-V,5th Gen,2017,2022,Infotainment screen glitches,The touchscreen can freeze or show a black screen intermittently.,,minor,90000,0.0,400.0,Test the backup camera and touchscreen response during the test drive.
Hyundai,Elantra,6th Gen,2017,2020,Engine knocking / connecting rod bearing wear,"Some GDI engines from this era develop rod bearing wear that produces a knocking noise and can lead to stalling, part of a broader Hyundai engine recall and extended warranty program.",,severe,130000,4000.0,6500.0,Ask whether the vehicle was inspected under Hyundai's Knock Sensor Detection System recall and listen closely for engine knock at idle.
Hyundai,Elantra,6th Gen,2017,2020,AC compressor failure,"The AC compressor clutch can seize or wear out prematurely, causing intermittent cooling loss and a rattling noise.",,moderate,110000,600.0,1100.0,Run the AC on max cold for several minutes to confirm consistent cooling.
Hyundai,Elantra,6th Gen,2017,2020,Sunroof rattle,The sunroof track and wind deflector can develop a rattle over bumps as mounting clips loosen with age.,,minor,90000,0.0,250.0,Open and close the sunroof and drive over uneven pavement to listen for rattling.
Hyundai,Elantra,6th Gen,2017,2020,Blind spot detection sensor malfunction,"The rear corner radar sensors can throw intermittent faults, disabling blind spot warning until the vehicle is restarted.",,minor,100000,0.0,400.0,Check the dash for a blind spot warning fault light during the test drive.
Hyundai,Tucson,3rd Gen,2016,2021,Engine failure from connecting rod bearing wear,"2.0L and 2.4L Theta II GDI engines in this generation are covered under Hyundai's engine recall program for premature rod bearing wear that can cause knocking, stalling, or a seized engine.",,severe,130000,4000.0,7000.0,"Ask for recall and warranty records confirming engine inspection or replacement, and listen for knocking at idle and under load."
Hyundai,Tucson,3rd Gen,2016,2021,Panoramic sunroof spontaneous shattering,"The large panoramic sunroof glass on higher trims has a documented history of cracking or shattering without impact, especially in temperature swings.",,moderate,60000,600.0,1200.0,Inspect the sunroof glass closely for stress cracks around the edges.
