make,model,generation_label,name,interval_km,estimated_cost_min,estimated_cost_max
BMW,3-Series,F30,Engine oil & filter,12000,,
BMW,3-Series,F30,Spark plugs,60000,,
BMW,3-Series,F30,Brake fluid flush,24000,,
BMW,3-Series,F30,Cabin & engine air filter,24000,,
BMW,3-Series,F30,Transmission fluid (8-speed automatic),100000,,
BMW,3-Series,F30,Coolant flush,100000,,
BMW,3-Series,F30,Timing chain inspection,100000,,
Chevrolet,Silverado,K2XX,Engine oil & filter,12000,,
Chevrolet,Silverado,K2XX,Cabin & engine air filter,24000,,
Chevrolet,Silverado,K2XX,Brake fluid flush,48000,,
Chevrolet,Silverado,K2XX,Transmission fluid,100000,,
Chevrolet,Silverado,K2XX,Spark plugs,100000,,
Chevrolet,Silverado,K2XX,Transfer case fluid,80000,,
Chevrolet,Silverado,K2XX,Front & rear differential fluid,100000,,
Chevrolet,Silverado,K2XX,Coolant flush,150000,,
Ford,F-150,13th Gen,Engine oil & filter,12000,,
Ford,F-150,13th Gen,Cabin & engine air filter,24000,,
Ford,F-150,13th Gen,Brake fluid flush,48000,,
Ford,F-150,13th Gen,Transmission fluid (10-speed),100000,,
Ford,F-150,13th Gen,Transfer case fluid (4WD),80000,,
Ford,F-150,13th Gen,Spark plugs,160000,,
Ford,F-150,13th Gen,Coolant flush,160000,,
Ford,Escape,4th Gen,Engine oil & filter,12000,,
Ford,Escape,4th Gen,Cabin & engine air filter,24000,,
Ford,Escape,4th Gen,Brake fluid flush,48000,,
Ford,Escape,4th Gen,Transmission fluid,100000,,
Ford,Escape,4th Gen,Spark plugs,100000,,
Ford,Escape,4th Gen,Coolant flush,160000,,
Ford,Escape,4th Gen,AWD power transfer unit fluid,90000,,
Honda,Civic,10th Gen,Engine oil & filter,8000,,
Honda,Civic,10th Gen,Cabin & engine air filter,24000,,
Honda,Civic,10th Gen,Brake fluid flush,48000,,
Honda,Civic,10th Gen,Transmission fluid (CVT),100000,,
Honda,Civic,10th Gen,Spark plugs,100000,,
Honda,Civic,10th Gen,Coolant flush,120000,,
Honda,Civic,10th Gen,Timing chain inspection,160000,,
Honda,Civic,9th Gen,Engine oil & filter,8000,,
Honda,Civic,9th Gen,Cabin & engine air filter,24000,,
Honda,Civic,9th Gen,Brake fluid flush,48000,,
Honda,Civic,9th Gen,Automatic transmission fluid,100000,,
Honda,Civic,9th Gen,Spark plugs,100000,,
Honda,Civic,9th Gen,Timing belt / water pump,160000,,
Honda,Accord,10th Gen,Engine oil & filter,8000,,
Honda,Accord,10th Gen,Cabin & engine air filter,24000,,
Honda,Accord,10th Gen,Brake fluid flush,48000,,
